Title,imdbID,Actor1,Actor2,Actors-3,Director,Actor1_Rev,Actor2_Rev,Year,YT_Count,YT_Likes,YT_Dislike,IMDBVotes,imdbRating,Budget,Revenue,Rated,Released,Genre,,
Pirates of the Caribbean: At Worlds End,tt0449088,Johnny Depp, Geoffrey Rush, Orlando Bloom,Gore Verbinski,104642616,152387163,2007,2274557,7351,156,493768,7.1,300000000,309404152,PG-13,25-May-07,Action, Adventure, Fantasy
Spectre,tt2379713,Daniel Craig, Christoph Waltz, L��a Seydoux,Sam Mendes,372774112,178248658,2015,25936462,48171,2427,304624,6.8,245000000,879620923,PG-13,6-Nov-15,Action, Adventure, Thriller
The Dark Knight Rises,tt1345836,Christian Bale, Gary Oldman, Tom Hardy,Christopher Nolan,217742101,152878928,2012,68870480,209174,6339,1201640,8.5,250000000,1084439099,PG-13,20-Jul-12,Action, Thriller,
Avengers: Age of Ultron,tt2395427,Robert Downey Jr., Chris Hemsworth, Mark Ruffalo,Joss Whedon,362607942,360722214,2015,99530702,575881,13615,506752,7.4,250000000,1404705868,PG-13,1-May-15,Action, Adventure, Sci-Fi
Harry Potter and the Half-Blood Prince,tt0417741,Daniel Radcliffe, Michael Gambon, Dave Legeno,David Yates,15580079,17767513,2009,5872480,12461,436,347079,7.5,250000000,301920409,PG,15-Jul-09,Adventure, Family, Fantasy
Batman v Superman: Dawn of Justice,tt2975590,Ben Affleck, Henry Cavill, Amy Adams,Zack Snyder,148995615,134307331,2016,63255285,358249,22034,458731,6.7,250000000,868160194,PG-13,25-Mar-16,Action, Adventure, Sci-Fi
Pirates of the Caribbean: Dead Mans Chest,tt0383574,Johnny Depp, Orlando Bloom, Keira Knightley,Gore Verbinski,104642616,121024732,2006,696056,1238,47,546306,7.3,225000000,423032628,PG-13,7-Jul-06,Action, Adventure, Fantasy
The Lone Ranger,tt1210819,Johnny Depp, Armie Hammer, William Fichtner,Gore Verbinski,104642616,63207483,2013,9244150,19930,1016,188527,6.5,215000000,260002115,PG-13,3-Jul-13,Action, Adventure, Western
The Avengers,tt0848228,Robert Downey Jr., Chris Evans, Mark Ruffalo,Joss Whedon,362607942,332441346,2012,148923848,740537,19643,1037900,8.1,220000000,1519479547,PG-13,4-May-12,Action, Sci-Fi,
Men in Black 3,tt1409024,Will Smith, Tommy Lee Jones, Josh Brolin,Barry Sonnenfeld,218238397,88956281,2012,20121821,73063,1476,276423,6.8,225000000,179020854,PG-13,25-May-12,Action, Adventure, Comedy
The Hobbit: The Battle of the Five Armies,tt2310332,Ian McKellen, Martin Freeman, Richard Armitage,Peter Jackson,187715569,231173787,2014,48363626,213551,5863,379700,7.4,250000000,955119788,PG-13,17-Dec-14,Adventure, Fantasy,
The Hobbit: The Desolation of Smaug,tt1170358,Ian McKellen, Martin Freeman, Richard Armitage,Peter Jackson,187715569,231173787,2013,21039438,88637,2480,508689,7.9,225000000,960366855,PG-13,13-Dec-13,Adventure, Fantasy,
Monsters University,tt1453405,Billy Crystal, John Goodman, Steve Buscemi,Dan Scanlon,99925140,112889565,2013,7795859,21639,1703,249616,7.3,200000000,743588329,G,21-Jun-13,Animation, Adventure, Comedy
Transformers: Age of Extinction,tt2109248,Mark Wahlberg, Stanley Tucci, Kelsey Grammer,Michael Bay,144799396,80578374,2014,14961576,33050,1783,251855,5.7,210000000,1104039076,PG-13,27-Jun-14,Action, Adventure, Sci-Fi
TRON: Legacy,tt1104001,Jeff Bridges, Garrett Hedlund, Olivia Wilde,Joseph Kosinski,101324047,79943701,2010,15416553,29028,1100,271531,6.8,170000000,397562763,PG,17-Dec-10,Action, Adventure, Sci-Fi
Toy Story 3,tt0435761,Tom Hanks, Tim Allen, Joan Cusack,Lee Unkrich,57619771,15245929,2010,15054470,12218,1889,577064,8.3,200000000,414984497,G,18-Jun-10,Animation, Adventure, Comedy
Terminator Salvation,tt0438488,Christian Bale, Sam Worthington, Moon Bloodgood,McG,217742101,38715291,2009,2217579,2636,311,294545,6.6,200000000,365491792,PG-13,21-May-09,Action, Adventure, Drama
Furious 7,tt2820852,Vin Diesel, Paul Walker, Jason Statham,James Wan,108476005,54654188,2015,94463807,447900,13192,293887,7.2,190000000,316986481,PG-13,3-Apr-15,Action, Crime, Thriller
X-Men: Days of Future Past,tt1877832,Hugh Jackman, James McAvoy, Michael Fassbender,Bryan Singer,87210690,19626708,2014,73307082,251047,11121,540747,8,200000000,199305306,PG-13,23-May-14,Action, Adventure, Sci-Fi
Star Trek Into Darkness,tt1408101,Chris Pine, Zachary Quinto, Zoe Saldana,J.J. Abrams,100914781,98366487,2013,11260909,26507,1440,414250,7.8,190000000,467381584,PG-13,16-May-13,Action, Adventure, Sci-Fi
Pacific Rim,tt1663662,Charlie Hunnam, Diego Klattenhoff, Idris Elba,Guillermo del Toro,43624368,37958538,2013,26091638,75528,3595,396073,7,190000000,411002906,PG-13,12-Jul-13,Action, Adventure, Sci-Fi
Star Trek Beyond,tt2660888,Chris Pine, Zachary Quinto, Karl Urban,Justin Lin,100914781,98366487,2016,8133859,42089,2876,154036,7.1,185000000,336398312,PG-13,22-Jul-16,Action, Adventure, Sci-Fi
Rush Hour 3,tt0293564,Chris Tucker, Jackie Chan, Max von Sydow,Brett Ratner,56274162,54210376,2007,3941177,17027,590,125309,6.2,140000000,140080850,PG-13,10-Aug-07,Action, Comedy, Crime
A Christmas Carol,tt1067106,Jim Carrey, Steve Valentine, Daryl Sabara,Robert Zemeckis,36465685,3909360,2009,3450728,5022,304,77870,6.8,200000000,137816456,PG,6-Nov-09,Animation, Drama, Family
X-Men: Apocalypse,tt3385516,James McAvoy, Michael Fassbender, Jennifer Lawrence,Bryan Singer,19626708,32026982,2016,76455675,446323,26648,253845,7.1,178000000,135729385,PG-13,27-May-16,Action, Adventure, Sci-Fi
The Dark Knight,tt0468569,Christian Bale, Heath Ledger, Aaron Eckhart,Christopher Nolan,217742101,72457700,2008,40758213,114690,3538,1768567,9,185000000,1002891358,PG-13,18-Jul-08,Action, Crime, Drama
Iron Man,tt0371746,Robert Downey Jr., Terrence Howard, Jeff Bridges,Jon Favreau,362607942,16265203,2008,53796692,348217,19666,729172,7.9,140000000,584604126,PG-13,2-May-08,Action, Adventure, Sci-Fi
Hugo,tt0970179,Ben Kingsley, Sacha Baron Cohen, Asa Butterfield,Martin Scorsese,84635231,41647529,2011,6308840,10001,832,256838,7.5,170000000,180047784,PG,23-Nov-11,Adventure, Drama, Family
Wild Wild West,tt0120891,Will Smith, Kevin Kline, Kenneth Branagh,Barry Sonnenfeld,218238397,23392420,1999,578102,677,56,133328,4.8,170000000,221229335,PG-13,30-Jun-99,Action, Comedy, Sci-Fi
The Mummy: Tomb of the Dragon Emperor,tt0859163,Brendan Fraser, Jet Li, Maria Bello,Rob Cohen,57219513,72968389,2008,571107,761,70,122564,5.2,145000000,405760225,PG-13,1-Aug-08,Action, Adventure, Fantasy
Suicide Squad,tt1386697,Will Smith, Jaime FitzSimons, Ike Barinholtz,David Ayer,218238397,219854697,2016,94556958,715662,20407,366780,6.3,175000000,746100054,PG-13,5-Aug-16,Action, Adventure, Fantasy
Evan Almighty,tt0413099,Steve Carell, Morgan Freeman, Lauren Graham,Tom Shadyac,122063724,78297584,2007,388858,223,15,118208,5.4,175000000,174131329,PG,22-Jun-07,Comedy, Family, Fantasy
Waterworld,tt0114898,Kevin Costner, Chaim Jeraffi, Rick Aviles,Kevin Reynolds,112100478,27597310,1995,2105125,2119,225,148906,6.1,175000000,264246220,PG-13,28-Jul-95,Action, Adventure, Sci-Fi
GI Joe: The Rise of Cobra,tt1046173,Adewale Akinnuoye-Agbaje, Christopher Eccleston, Gr��gory Fitoussi,Stephen Sommers,103088501,79088550,2009,311611,542,27,178956,5.8,175000000,150167630,PG-13,7-Aug-09,Action, Adventure, Sci-Fi
The Jungle Book,tt3040964,Neel Sethi, Bill Murray, Ben Kingsley,Jon Favreau,481950561,91776617,2016,44074808,151906,7355,185876,7.5,175000000,963901123,PG,15-Apr-16,Adventure, Drama, Family
Dawn of the Planet of the Apes,tt2103281,Andy Serkis, Jason Clarke, Gary Oldman,Matt Reeves,356876604,105108661,2014,29800805,79330,4269,333265,7.6,170000000,703545589,PG-13,11-Jul-14,Action, Adventure, Drama
47 Ronin,tt1335975,Keanu Reeves, Hiroyuki Sanada, Ko Shibasaki,Carl Rinsch,9024615,116984074,2013,18320772,45280,2048,122392,6.3,175000000,20518224,PG-13,25-Dec-13,Action, Adventure, Drama
Shrek Forever After,tt0892791,Mike Myers, Eddie Murphy, Cameron Diaz,Mike Mitchell,119637182,117777459,2010,513802,674,70,145618,6.3,165000000,756244673,PG,21-May-10,Animation, Adventure, Comedy
Tomorrowland,tt1964418,George Clooney, Hugh Laurie, Britt Robertson,Brad Bird,104329638,58454077,2015,41880136,217053,8181,140337,6.5,190000000,205336322,PG,22-May-15,Action, Adventure, Family
Independence Day: Resurgence,tt1628841,Liam Hemsworth, Jeff Goldblum, Jessie T. Usher,Roland Emmerich,113821249,48718288,2016,37609036,132269,8932,118591,5.3,165000000,387644286,PG-13,24-Jun-16,Action, Adventure, Sci-Fi
Terminator 3: Rise of the Machines,tt0181852,Arnold Schwarzenegger, Nick Stahl, Claire Danes,Jonathan Mostow,58744440,185175,2003,2446127,1836,188,316081,6.4,200000000,150252753,R,2-Jul-03,Action, Sci-Fi, Thriller
Inception,tt1375666,Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page,Christopher Nolan,220027943,152842629,2010,5443255,12869,349,1557867,8.8,160000000,832584416,PG-13,16-Jul-10,Action, Adventure, Sci-Fi
The Hobbit: An Unexpected Journey,tt0903624,Ian McKellen, Martin Freeman, Richard Armitage,Peter Jackson,187715569,231173787,2012,5684307,19677,485,663528,7.9,180000000,1017003568,PG-13,14-Dec-12,Adventure, Fantasy,
The Fast and the Furious,tt0232500,Paul Walker, Vin Diesel, Michelle Rodriguez,Rob Cohen,54654188,108476005,2001,30838433,248558,12476,282637,6.7,38000000,206512310,PG-13,22-Jun-01,Action, Crime, Thriller
X-Men: First Class,tt1270798,James McAvoy, Laurence Belcher, Michael Fassbender,Matthew Vaughn,19626708,4147598,2011,51155950,160132,7573,542108,7.8,160000000,145300000,PG-13,3-Jun-11,Action, Adventure, Sci-Fi
The Sorcerers Apprentice,tt0963966,Nicolas Cage, Jay Baruchel, Alfred Molina,Jon Turteltaub,5023915,21686761,2010,2580117,3292,232,129618,6.1,150000000,63143812,PG,14-Jul-10,Action, Adventure, Family
Poseidon,tt0409182,Josh Lucas, Kurt Russell, Jacinda Barrett,Wolfgang Petersen,25580641,53252595,2006,706581,1266,85,84534,5.6,160000000,181674817,PG-13,12-May-06,Action, Adventure, Drama
Terminator Genisys,tt1340138,Arnold Schwarzenegger, Jason Clarke, Emilia Clarke,Alan Taylor,58744440,105108661,2015,49693334,139287,14858,201918,6.5,155000000,440160956,PG-13,1-Jul-15,Action, Adventure, Sci-Fi
Pearl Harbor,tt0213149,Ben Affleck, Josh Hartnett, Kate Beckinsale,Michael Bay,148995615,45718,2001,1548977,2446,109,265058,6.1,140000000,449239855,PG-13,25-May-01,Action, Drama, History
Alexander,tt0346491,Anthony Hopkins, David Bedella, Jessie Kamm,Oliver Stone,102097638,48034,2004,10709050,15100,1857,143006,5.5,155000000,167297191,R,24-Nov-04,Action, Adventure, Biography
Harry Potter and the Order of the Phoenix,tt0373889,Daniel Radcliffe, Harry Melling, Jason Boyd,David Yates,15580079,254396861,2007,647844,2431,54,380093,7.5,150000000,942943935,PG-13,11-Jul-07,Adventure, Family, Fantasy
Harry Potter and the Goblet of Fire,tt0330373,Eric Sykes, Timothy Spall, David Tennant,Mike Newell,62803362,20769943,2005,996665,3568,104,412718,7.7,150000000,896911078,PG-13,18-Nov-05,Adventure, Family, Fantasy
Charlie and the Chocolate Factory,tt0367594,Johnny Depp, Freddie Highmore, David Kelly,Tim Burton,104642616,68830627,2005,1889003,3848,306,337871,6.7,150000000,475825484,PG,15-Jul-05,Adventure, Comedy, Family
Batman Begins,tt0372784,Christian Bale, Michael Caine, Liam Neeson,Christopher Nolan,217742101,239839671,2005,1197186,4403,125,1034363,8.3,150000000,359142722,PG-13,15-Jun-05,Action, Adventure,
X-Men Origins: Wolverine,tt0458525,Hugh Jackman, Liev Schreiber, Danny Huston,Gavin Hood,87210690,16417213,2009,775308,1906,73,377780,6.7,150000000,179737340,PG-13,1-May-09,Action, Adventure, Sci-Fi
Angels  Demons,tt0808151,Tom Hanks, Ewan McGregor, Ayelet Zurer,Ron Howard,57619771,152579280,2009,2600754,3625,829,223793,6.7,150000000,133375846,PG-13,15-May-09,Mystery, Thriller,
G-Force,tt0436339,Bill Nighy, Will Arnett, Zach Galifianakis,Hoyt Yeatman,12194110,116056753,2009,1703922,1426,194,34206,5.1,150000000,119420252,PG,24-Jul-09,Animation, Action, Adventure
Wrath of the Titans,tt1646987,Sam Worthington, Liam Neeson, Ralph Fiennes,Jonathan Liebesman,38715291,5982169,2012,15756802,23578,1254,157792,5.8,150000000,305270083,PG-13,30-Mar-12,Action, Adventure, Fantasy
Mission: Impossible - Rogue Nation,tt2381249,Tom Cruise, Jeremy Renner, Simon Pegg,Christopher McQuarrie,183502020,292860121,2015,23983097,56707,2015,253223,7.4,150000000,154979949,PG-13,31-Jul-15,Action, Adventure, Thriller
The Last Airbender,tt0938283,Noah Ringer, Dev Patel, Nicola Peltz,M. Night Shyamalan,213142587,90863543,2010,9616805,13035,4241,123543,4.2,150000000,319713881,PG,1-Jul-10,Action, Adventure, Family
Mission: Impossible III,tt0317919,Tom Cruise, Philip Seymour Hoffman, Ving Rhames,J.J. Abrams,183502020,69919865,2006,896411,709,32,267735,6.9,150000000,397501348,PG-13,5-May-06,Action, Adventure, Thriller
White House Down,tt2334879,Channing Tatum, Jamie Foxx, Maggie Gyllenhaal,Roland Emmerich,96576880,133746607,2013,10926848,8040,901,171919,6.4,150000000,205440387,PG-13,28-Jun-13,Action, Drama, Thriller
Mars Needs Moms,tt1305591,Seth Green, Dan Fogler, Joan Cusack,Simon Wells,37311727,116290774,2011,1176906,1262,475,18167,5.4,150000000,39549758,PG,11-Mar-11,Animation, Adventure, Family
Pan,tt3332064,Hugh Jackman, Levi Miller, Garrett Hedlund,Joe Wright,87210690,16315388,2015,19141918,61681,4776,46851,5.8,150000000,123888320,PG,9-Oct-15,Adventure, Family, Fantasy
Mr Peabody  Sherman,tt0864835,Ty Burrell, Max Charles, Lauri Fraser,Rob Minkoff,75991495,65779752,2014,12294525,24648,2861,50468,6.9,145000000,101784999,PG,7-Mar-14,Animation, Adventure, Comedy
Troy,tt0332452,Julian Glover, Brian Cox, Nathan Jones,Wolfgang Petersen,11055595,19426684,2004,1483430,1991,104,400105,7.2,175000000,484161265,R,14-May-04,Adventure,,
Ghostbusters,tt0087332,Bill Murray, Dan Aykroyd, Sigourney Weaver,Ivan Reitman,91776617,75627836,2016,47935066,333853,1132225,285775,7.8,144000000,229034050,PG,8-Jun-84,Action, Adventure, Comedy
Armageddon,tt0120591,Bruce Willis, Billy Bob Thornton, Ben Affleck,Michael Bay,55956848,44397438,1998,6165115,6654,471,334420,6.6,140000000,554600000,PG-13,1-Jul-98,Action, Adventure, Sci-Fi
Men in Black II,tt0120912,Tommy Lee Jones, Will Smith, Rip Torn,Barry Sonnenfeld,88956281,218238397,2002,1297547,1125,86,277032,6.1,140000000,190400000,PG-13,3-Jul-02,Action, Adventure, Comedy
Rise of the Guardians,tt1446192,Chris Pine, Alec Baldwin, Jude Law,Peter Ramsey,100914781,5792276,2012,13792163,45442,1542,129379,7.3,145000000,306900902,PG,21-Nov-12,Animation, Adventure, Family
The Last Samurai,tt0325710,Ken Watanabe, Tom Cruise, William Atherton,Edward Zwick,203191039,183502020,2003,1351857,2105,97,329525,7.7,140000000,456810575,R,5-Dec-03,Action, Drama, History
Exodus: Gods and Kings,tt1528100,Christian Bale, Joel Edgerton, John Turturro,Ridley Scott,217742101,62176645,2014,20087524,39649,4441,135686,6,140000000,268314513,PG-13,12-Dec-14,Action, Adventure, Drama
Star Trek,tt0796366,Chris Pine, Zachary Quinto, Leonard Nimoy,J.J. Abrams,100914781,98366487,2009,7771436,37515,2582,523560,8,150000000,385680446,PG-13,8-May-09,Action, Adventure, Sci-Fi
Spider-Man,tt0145487,Tobey Maguire, Willem Dafoe, Kirsten Dunst,Sam Raimi,30746754,95577742,2002,60246101,686863,38958,568088,7.3,139000000,403706375,PG-13,3-May-02,Action, Adventure,
Gods of Egypt,tt2404233,Brenton Thwaites, John Samaha, Courtney Eaton,Alex Proyas,62008415,14746331,2016,26168693,73580,16797,70821,5.5,140000000,133553464,PG-13,26-Feb-16,Action, Adventure, Fantasy
GI Joe: Retaliation,tt1583421,Dwayne Johnson, Jonathan Pryce, Byung-hun Lee,Jon M. Chu,65769648,4646016,2013,24309041,36664,1766,150864,5.8,130000000,122512052,PG-13,28-Mar-13,Action, Adventure, Sci-Fi
Sahara,tt0318649,Matthew McConaughey, Steve Zahn, Pen��lope Cruz,Breck Eisner,136382857,41882872,2005,501009,62,4,79411,6,130000000,68642452,PG-13,8-Apr-05,Action, Adventure, Comedy
Master and Commander: The Far Side of the World,tt0311113,Russell Crowe, Paul Bettany, James D'Arcy,Peter Weir,120967406,264405066,2003,481540,558,29,172974,7.4,150000000,212912137,PG-13,14-Nov-03,Action, Adventure, Drama
Miami Vice,tt0430357,Colin Farrell, Jamie Foxx, Li Gong,Michael Mann,93196236,133746607,2006,993068,1238,94,95287,6,1500000,63400000,R,28-Jul-06,Action, Crime, Thriller
The Revenant,tt1663202,Leonardo DiCaprio, Tom Hardy, Domhnall Gleeson,Alejandro Gonz��lez I����rritu,220027943,131643068,2015,48589882,125911,4635,488262,8,135000000,532950503,R,8-Jan-16,Adventure, Drama, Thriller
Turbo,tt1860353,Ryan Reynolds, Paul Giamatti, Michael Pe��a,David Soren,161180668,45347686,2013,13390498,16498,2067,65146,6.5,135000000,286896578,PG,17-Jul-13,Animation, Adventure, Comedy
Ant-Man,tt0478970,Paul Rudd, Michael Douglas, Evangeline Lilly,Peyton Reed,98867410,27872684,2015,21762191,70314,4688,358276,7.3,130000000,138002223,PG-13,17-Jul-15,Action, Adventure, Comedy
Bad Boys II,tt0172156,Martin Lawrence, Will Smith, Jordi Moll�_,Michael Bay,65098309,218238397,2003,714065,463,25,184869,6.6,130000000,273271982,R,18-Jul-03,Action, Comedy, Crime
The Adventures of Tintin,tt0983193,Jamie Bell, Andy Serkis, Daniel Craig,Steven Spielberg,107910331,356876604,2011,2599549,3409,303,182707,7.4,135000000,373993951,PG,21-Dec-11,Animation, Action, Adventure
Harry Potter and the Prisoner of Azkaban,tt0304141,Daniel Radcliffe, Richard Griffiths, Pam Ferris,Alfonso Cuar�_n,15580079,131615799,2004,1389911,3635,141,408744,7.8,130000000,796688549,PG,4-Jun-04,Adventure, Family, Fantasy
Australia,tt0455824,Shea Adams, Eddie Baroo, Ray Barrett,Baz Luhrmann,43020396,2756172,2008,5627869,30953,946,105180,6.6,130000000,215080810,PG-13,26-Nov-08,Adventure, Drama, Romance
After Earth,tt1815862,Jaden Smith, Will Smith, Sophie Okonedo,M. Night Shyamalan,114287529,218238397,2013,18186413,41639,3450,164997,4.9,130000000,251499665,PG-13,31-May-13,Action, Adventure, Sci-Fi
Megamind,tt1001526,Will Ferrell, Brad Pitt, Tina Fey,Tom McGrath,33190637,85343206,2010,1867614,2684,142,182100,7.3,130000000,321887208,PG,5-Nov-10,Animation, Action, Comedy
RIPD,tt0790736,Jeff Bridges, Ryan Reynolds, Kevin Bacon,Robert Schwentke,101324047,161180668,2013,6289395,25330,1210,95826,5.6,130000000,33500000,PG-13,19-Jul-13,Action, Comedy, Fantasy
Pirates of the Caribbean: The Curse of the Black Pearl,tt0325980,Johnny Depp, Geoffrey Rush, Orlando Bloom,Gore Verbinski,104642616,152387163,2003,965913,3139,82,849484,8,140000000,634954103,PG-13,9-Jul-03,Action, Adventure, Fantasy
Rio 2,tt2357291,Jake T. Austin, Carlinhos Brown, Kristin Chenoweth,Carlos Saldanha,31776126,97503961,2014,6011708,15439,1289,61921,6.4,103000000,113691800,G,11-Apr-14,Animation, Adventure, Comedy
X-Men 2,tt0290334,Patrick Stewart, Hugh Jackman, Ian McKellen,Bryan Singer,7558994,87210690,2003,20099473,129254,7529,422356,7.5,110000000,214813155,PG-13,2-May-03,Action, Adventure, Fantasy
Fast Five,tt1596343,Vin Diesel, Paul Walker, Jordana Brewster,Justin Lin,108476005,54654188,2011,8222330,8212,360,294510,7.3,125000000,629969804,PG-13,29-Apr-11,Action, Crime, Thriller
Sherlock Holmes: A Game of Shadows,tt1515091,Robert Downey Jr., Jude Law, Noomi Rapace,Guy Ritchie,362607942,56830970,2011,1291568,4597,116,352014,7.5,125000000,535663443,PG-13,16-Dec-11,Action, Adventure, Crime
Clash of the Titans,tt0800320,Sam Worthington, Liam Neeson, Ralph Fiennes,Louis Leterrier,38715291,5982169,2010,179279,274,21,235875,5.8,125000000,163100000,PG-13,2-Apr-10,Action, Adventure, Fantasy
The Bourne Legacy,tt1194173,Jeremy Renner, Scott Glenn, Stacy Keach,Tony Gilroy,292860121,77508927,2012,16930299,44168,1603,241885,6.7,125000000,280355920,PG-13,10-Aug-12,Action, Adventure, Mystery
The Day After Tomorrow,tt0319262,Dennis Quaid, Jake Gyllenhaal, Emmy Rossum,Roland Emmerich,10621434,37667610,2004,1253686,2415,104,346410,6.4,125000000,556319450,PG-13,28-May-04,Action, Adventure, Sci-Fi
Mission: Impossible II,tt0120755,Tom Cruise, Dougray Scott, Thandie Newton,John Woo,183502020,6451401,2000,667377,170,15,253333,6.1,125000000,397501348,PG-13,24-May-00,Action, Adventure, Thriller
The Perfect Storm,tt0177971,George Clooney, Mark Wahlberg, John C. Reilly,Wolfgang Petersen,104329638,144799396,2000,466034,421,41,136569,6.4,140000000,328711434,PG-13,30-Jun-00,Action, Adventure, Drama
Life of Pi,tt0454876,Suraj Sharma, Irrfan Khan, Ayush Tandon,Ang Lee,129466294,146505290,2012,1892802,6511,357,463028,7.9,120000000,607987022,PG,21-Nov-12,Adventure, Drama, Fantasy
Jason Bourne,tt4196776,Matt Damon, Tommy Lee Jones, Alicia Vikander,Paul Greengrass,136623867,88956281,2016,15238543,51757,2288,143037,6.7,120000000,416197059,PG-13,29-Jul-16,Action, Thriller,
